id,building_name,longitude,latitude,category
1,Angell Hall,42.26129351393252,83.74147646419331,lecturehall
2,Alice Lloyd Hall,42.28553088758371,83.7225873567864,dormitory
3,Alumni Memorial Hall (Art Museum),42.28112154929086,83.73653140934081,recreation
4,Burton Memorial Tower,42.24437387727584,83.70224278675099,"lecturehall,recreation"
5,Business Administration,42.30396135981942,83.78178874298604,administration
6,1100 North University Ave. Building,42.238902883030825,83.70393284684731,research
7,Central Campus Recreation Building (CCRB),42.27018014924809,83.7021125524878,"workout,recreation"
8,Chemistry Building (Chem),42.27088608334476,83.74077216174452,"lecturehall,chemistry"
9,Couzens Hall,42.30874157347671,83.74095035711782,dormitory
10,Crisler Arena,42.254251841859,83.7068014732545,recreation
11,"Dana Building (School of Natural Resources & Environment, SNRE)",42.2960847754334,83.75786045842713,"lecturehall, administration"
12,"Dance Building, 1310 N University Court",42.23531688274484,83.73628921295052,administration
13,Weiser Hall,42.24238110324848,83.7741032754572,administration
14,Dental Building,42.31498778278166,83.76025614413099,lecturehall
15,Executive Education,42.29646102604245,83.7481883323473,"business,lecturehall"
16,East Hall,42.3209595990886,83.76874695575898,"lecturehall,coordination"
17,East Quadrangle,42.255762630722195,83.74603816050252,"dormitory, dininghall"
18,Tappan Hall,42.26204318002731,83.70619599626907,lecturehall
19,Harlan Hatcher Graduate Library,42.28410313838871,83.78617727559876,library
20,"Hale Auditorium, School of Business Administration",42.27245507436228,83.75909893752534,lecturehall
21,Haven Hall,42.32537098697185,83.7856590958525,"lecturehall,administration"
22,Hutchins Hall,42.25883095839814,83.71232864421272,"law,lecturehall"
23,Intramural Building (IM Building),42.24896211257918,83.72230093588774,"workout,recreation"
24,Kresge Library,42.29404602790645,83.79153863739106,library
25,Kellogg Eye Center,42.308195402339535,83.7633895580143,healthcare
26,Kelsey Museum of Archaeology (Newberry Hall),42.306740263465656,83.71168443068986,recreation
27,Kresge Hearing Research Institute,42.247033312021706,83.73392571406451,research
28,Lane Hall,42.25534537287877,83.73319143310644,lecturehall
29,Michigan League,42.313616193637586,83.72524483441352,administration
30,Law Library,42.32511940567261,83.74156623280771,"law,library"
31,Lorch Hall,42.30936459116093,83.71581144965894,lecturehall
32,"Literature, Science, and the Arts Building (LSA Building)",42.259468483729385,83.74573368639942,lecturehall
33,Life Sciences Institute (LSI),42.290648590193896,83.77327716308062,research
34,Mary Markley Hall,42.27822857395558,83.77597902035068,dormitory
35,Mason Hall,42.291187891437865,83.76374175604933,lecturehall
36,Mental Health Research Institute (MHRI),42.30762649019903,83.73873938627104,research
37,Modern Languages Building (MLB),42.26414357149321,83.73913784754227,lecturehall
38,Mosher Jordan Hall,42.31627315245612,83.78970101626615,"dormitory,dininghall"
39,North Hall,42.320408003658116,83.74372134389968,lecturehall
40,North Ingalls Building,42.26461438948894,83.75221477937255,lecturehall
41,Stockwell Hall,42.25954410303536,83.72481970267093,"dormitory,coordination"
42,North University Building,42.237734434358394,83.78310555178173,"lecturehall,coordination"
43,Palmer Commons,42.25036866381987,83.70249661895777,"recreation,meetingrooms"
44,Paton Accounting Center,42.250656156307414,83.76945770519289,lecturehall
45,Power Center for the Performing Arts,42.27803564713072,83.69998310355282,lecturehall
