owner_id,day_of_week,time_period,cong_level
1,0,1,0.28388533710577396
1,0,2,0.30490348338649315
1,0,3,0.32504073793744837
1,0,4,0.3440458316348963
1,0,5,0.36167263051332965
1,0,6,0.3776853896047355
1,0,7,0.3918639702822159
1,0,8,0.40400886074480075
1,0,9,0.4139458401477725
1,0,10,0.42153013422996427
1,0,11,0.42664992399607676
1,0,12,0.42922908863418824
1,0,13,0.42922908863418824
1,0,14,0.42664992399607676
1,0,15,0.42153013422996427
1,0,16,0.4139458401477725
1,0,17,0.40400886074480075
1,0,18,0.3918639702822159
1,0,19,0.3776853896047355
1,0,20,0.36167263051332965
1,0,21,0.3440458316348963
1,0,22,0.32504073793744837
1,0,23,0.30490348338649315
1,0,24,0.28388533710577396
1,1,1,0.28963694502821463
1,1,2,0.3366071875299121
1,1,3,0.3843622265455511
1,1,4,0.43192019199748694
1,1,5,0.4782014083951534
1,1,6,0.5220665267454504
1,1,7,0.5623615555881564
1,1,8,0.5979674293710591
1,1,9,0.6278512090764188
1,1,10,0.6511156783373444
1,1,11,0.6670440257111285
1,1,12,0.6751365128833953
1,1,13,0.6751365128833953
1,1,14,0.6670440257111285
1,1,15,0.6511156783373444
1,1,16,0.6278512090764188
1,1,17,0.5979674293710591
1,1,18,0.5623615555881564
1,1,19,0.5220665267454504
1,1,20,0.4782014083951534
1,1,21,0.43192019199748694
1,1,22,0.3843622265455511
1,1,23,0.3366071875299121
1,1,24,0.28963694502821463
1,2,1,0.4328371026410867
1,2,2,0.4537189732132653
1,2,3,0.4734285130290237
1,2,4,0.4917797948453256
1,2,5,0.5085952618797928
1,2,6,0.5237085749820064
1,2,7,0.536967344579291
1,2,8,0.5482356848359061
1,2,9,0.557396530257515
1,2,10,0.5643536595587921
1,2,11,0.5690333778845899
1,2,12,0.5713858162649834
1,2,13,0.5713858162649834
1,2,14,0.5690333778845899
1,2,15,0.5643536595587921
1,2,16,0.557396530257515
1,2,17,0.5482356848359061
1,2,18,0.536967344579291
1,2,19,0.5237085749820064
1,2,20,0.5085952618797928
1,2,21,0.4917797948453256
1,2,22,0.4734285130290237
1,2,23,0.4537189732132653
1,2,24,0.4328371026410867
1,3,1,0.1080051018503252
1,3,2,0.14900429738652954
1,3,3,0.19368396483834993
1,3,4,0.2410625270073527
1,3,5,0.28983344677971873
1,3,6,0.33840732168567417
1,3,7,0.38498650535781614
1,3,8,0.4276688927570685
1,3,9,0.4645733593154919
1,3,10,0.4939757473163762
1,3,11,0.514441886448484
1,3,12,0.5249434187456381
1,3,13,0.5249434187456381
1,3,14,0.514441886448484
1,3,15,0.4939757473163762
1,3,16,0.4645733593154919
1,3,17,0.4276688927570685
1,3,18,0.38498650535781614
1,3,19,0.33840732168567417
1,3,20,0.28983344677971873
1,3,21,0.2410625270073527
1,3,22,0.19368396483834993
1,3,23,0.14900429738652954
1,3,24,0.1080051018503252
1,4,1,0.3712991688413749
1,4,2,0.39164948017506773
1,4,3,0.4109316347772776
1,4,4,0.42894783272947684
1,4,5,0.44550795672409854
1,4,6,0.4604328930107721
1,4,7,0.4735577455168704
1,4,8,0.4847348627934393
1,4,9,0.4938366002494489
1,4,10,0.5007577454940512
1,4,11,0.5054175423826509
1,4,12,0.5077612593337121
1,4,13,0.5077612593337121
1,4,14,0.5054175423826509
1,4,15,0.5007577454940512
1,4,16,0.4938366002494489
1,4,17,0.4847348627934393
1,4,18,0.4735577455168704
1,4,19,0.4604328930107721
1,4,20,0.44550795672409854
1,4,21,0.42894783272947684
1,4,22,0.4109316347772776
1,4,23,0.39164948017506773
1,4,24,0.3712991688413749
1,5,1,0.09434835574891424
1,5,2,0.13012319786185694
1,5,3,0.16871109158100633
1,5,4,0.20925136305890896
1,5,5,0.25063743786889126
1,5,6,0.2915549708102573
1,5,7,0.3305434992040508
1,5,8,0.36607854126786377
1,5,9,0.39666823321816286
1,5,10,0.4209562299981459
1,5,11,0.43782109291045684
1,5,12,0.4464620579109542
1,5,13,0.4464620579109542
1,5,14,0.43782109291045684
1,5,15,0.4209562299981459
1,5,16,0.39666823321816286
1,5,17,0.36607854126786377
1,5,18,0.3305434992040508
1,5,19,0.2915549708102573
1,5,20,0.25063743786889126
1,5,21,0.20925136305890896
1,5,22,0.16871109158100633
1,5,23,0.13012319786185694
1,5,24,0.09434835574891424
1,6,1,0.08511774751087235
1,6,2,0.13144504889107184
1,6,3,0.18425438058618332
1,6,4,0.24258019472910847
1,6,5,0.30484708805906746
1,6,6,0.36888769671984917
1,6,7,0.4320328694967119
1,6,8,0.49127514129722877
1,6,9,0.543495011740144
1,6,10,0.5857280630279894
1,6,11,0.6154418439956584
1,6,12,0.6307868107329614
1,6,13,0.6307868107329614
1,6,14,0.6154418439956584
1,6,15,0.5857280630279894
1,6,16,0.543495011740144
1,6,17,0.49127514129722877
1,6,18,0.4320328694967119
1,6,19,0.36888769671984917
1,6,20,0.30484708805906746
1,6,21,0.24258019472910847
1,6,22,0.18425438058618332
1,6,23,0.13144504889107184
1,6,24,0.08511774751087235
1,0,1,0.24074821552615977
1,0,2,0.26456578739958314
1,0,3,0.2877135501763578
1,0,4,0.3098441634408665
1,0,5,0.3306086183932978
1,0,6,0.34966523914128206
1,0,7,0.36668894459917817
1,0,8,0.3813804242759258
1,0,9,0.3934748682445645
1,0,10,0.4027498965671134
1,0,11,0.4090323568643438
1,0,12,0.41220369987344413
1,0,13,0.41220369987344413
1,0,14,0.4090323568643438
1,0,15,0.4027498965671134
1,0,16,0.3934748682445645
1,0,17,0.3813804242759258
1,0,18,0.36668894459917817
1,0,19,0.34966523914128206
1,0,20,0.3306086183932978
1,0,21,0.3098441634408665
1,0,22,0.2877135501763578
1,0,23,0.26456578739958314
1,0,24,0.24074821552615977
1,1,1,0.23188590410822096
